년도,읍면동(법정동),등록주체(시군구),등록주체(대행업체),등록주체(기타(이벤트등)),RFID종류(내장형),RFID종류(외장형),RFID종류(인식표),등록 품종수,동물소유자수,동물소유자당동물등록수,합계,미승인,반려
2012,공릉동,0,8,0,8,0,0,7,7,1.14,8,0,0
2012,상계동,0,7,0,7,0,0,4,5,1.4,7,0,0
2012,월계동,0,4,0,4,0,0,2,3,1.33,4,0,0
2012,중계동,0,1,0,1,0,0,1,1,1,1,0,0
2012,하계동,0,1,0,1,0,0,1,1,1,1,0,0
2013,공릉동,5,1666,0,448,1166,57,48,1440,1.16,1671,0,0
2013,상계동,13,3277,0,925,2246,119,59,2784,1.18,3290,0,0
2013,월계동,11,1221,0,319,797,116,43,1033,1.19,1232,0,0
2013,중계동,3,1690,0,581,1044,68,42,1499,1.13,1693,0,0
2013,하계동,2,601,0,180,413,10,33,514,1.17,603,0,0
2014,공릉동,1,298,0,75,205,19,32,271,1.1,299,0,0
2014,상계동,5,663,0,212,437,19,45,581,1.15,668,0,0
2014,월계동,2,345,0,83,238,26,28,299,1.16,347,0,0
2014,중계동,7,369,0,116,245,15,33,331,1.14,376,0,0
2014,하계동,0,164,0,36,122,6,24,145,1.13,164,0,0
2015,공릉동,0,186,0,91,82,13,25,168,1.11,186,0,0
2015,상계동,2,311,0,172,132,9,37,287,1.09,313,0,0
2015,월계동,2,132,0,60,66,8,30,119,1.13,134,0,0
2015,중계동,2,178,0,94,76,10,25,166,1.08,180,0,0
2015,하계동,0,67,0,41,24,2,19,65,1.03,67,0,0
2016,공릉동,1,117,0,70,35,13,22,114,1.04,118,0,0
2016,상계동,1,378,0,207,161,11,41,336,1.13,379,0,0
2016,월계동,1,130,0,72,52,7,26,121,1.08,131,0,0
2016,중계동,0,151,0,97,46,8,28,136,1.11,151,0,0
2016,하계동,2,67,0,36,28,5,16,65,1.06,69,0,0
2017,공릉동,1,108,0,59,43,7,21,98,1.11,109,0,0
2017,상계동,0,333,0,226,97,10,37,304,1.1,333,0,0
2017,월계동,1,118,0,65,45,9,30,108,1.1,119,0,0
2017,중계동,0,203,0,131,62,10,31,183,1.11,203,0,0
2017,하계동,0,74,0,48,23,3,30,65,1.14,74,0,0
2018,공릉동,1,163,0,79,67,18,25,155,1.06,164,0,0
2018,상계동,10,403,0,213,159,41,43,369,1.12,413,0,1
2018,월계동,5,166,0,87,78,6,26,149,1.15,171,0,0
2018,중계동,11,227,0,150,68,20,34,211,1.13,238,0,0
2018,하계동,4,126,0,75,52,3,24,122,1.07,130,0,0
2019,공릉동,43,902,0,450,372,123,45,844,1.12,945,0,2
2019,상계동,261,2459,0,1173,1081,466,65,2357,1.15,2720,0,8
2019,월계동,104,950,0,483,370,201,45,888,1.19,1054,0,2
2019,중계동,105,1367,0,742,532,198,49,1282,1.15,1472,0,2
2019,하계동,41,591,0,292,258,82,36,568,1.11,632,0,0
2020,공릉동,2,346,0,187,109,52,42,322,1.08,348,0,0
2020,상계동,15,818,0,530,176,127,55,765,1.09,833,0,0
2020,월계동,5,316,0,185,62,74,36,285,1.13,321,0,0
2020,중계동,12,455,0,302,80,85,44,401,1.16,467,0,0
2020,하계동,2,199,0,124,44,33,29,181,1.11,201,0,0
2021,공릉동,9,566,0,279,291,5,47,501,1.15,575,0,0
2021,상계동,12,1556,0,794,757,17,62,1340,1.17,1568,0,1
2021,월계동,4,525,0,294,226,9,48,454,1.17,529,0,3
2021,중계동,6,801,0,446,355,6,52,721,1.12,807,0,1
2021,하계동,2,342,0,159,182,3,39,319,1.08,344,0,0
2022,공릉동,2,161,0,66,97,0,33,154,1.06,163,0,0
2022,상계동,6,561,0,275,292,0,49,468,1.21,567,0,0
2022,월계동,1,184,0,70,115,0,26,172,1.08,185,0,0
2022,중계동,20,241,0,111,150,0,34,225,1.16,261,0,0
2022,하계동,1,90,0,41,50,0,21,89,1.02,91,0,0
2023,공릉동,13,233,0,98,148,0,32,222,1.11,246,0,1
2023,상계동,11,723,0,335,399,0,58,632,1.16,734,0,5
2023,월계동,3,248,0,106,145,0,38,230,1.09,251,0,0
2023,중계동,4,301,0,131,174,0,31,270,1.13,305,0,1
2023,하계동,2,131,0,61,72,0,26,121,1.1,133,0,0
2024,공릉동,0,124,0,50,74,0,22,118,1.05,124,0,0
2024,상계동,6,321,0,131,196,0,38,306,1.07,327,0,1
2024,월계동,2,101,0,53,50,0,24,97,1.06,103,0,0
2024,중계동,1,171,0,73,99,0,35,166,1.04,172,0,1
2024,하계동,1,65,0,28,38,0,18,62,1.06,66,0,0
